District,State,Confirmed,Recovered,Deaths,Active,Delta_Confirmed,Delta_Recovered,Delta_Deaths,Last_Updated_Time
Ahmadnagar,Maharashtra,25,1,0,24,0,0,,
Akola,Maharashtra,9,0,0,9,0,0,,
Amravati,Maharashtra,4,0,1,3,0,0,,
Aurangabad,Maharashtra,17,1,1,15,0,0,,
Bhandara,Maharashtra,0,0,0,0,0,0,,
Bid,Maharashtra,1,0,0,1,0,0,,
Buldana,Maharashtra,11,0,1,10,0,0,,
Chandrapur,Maharashtra,0,0,0,0,0,0,,
Dhule,Maharashtra,0,0,0,0,0,0,,
Gadchiroli,Maharashtra,0,0,0,0,0,0,,
Gondiya,Maharashtra,1,0,0,1,0,0,,
Hingoli,Maharashtra,1,0,0,1,0,0,,
Jalgaon,Maharashtra,2,0,0,2,0,0,,
Jalna,Maharashtra,1,0,0,1,0,0,,
Kolhapur,Maharashtra,5,0,0,5,0,0,,
Latur,Maharashtra,8,0,0,8,0,0,,
Mumbai,Maharashtra,873,14,55,804,0,0,,
Mumbai Suburban,Maharashtra,0,0,1,-1,0,0,,
Nagpur,Maharashtra,19,4,1,14,0,0,,
Nanded,Maharashtra,0,0,0,0,0,0,,
Nandurbar,Maharashtra,0,0,0,0,0,0,,
Nashik,Maharashtra,7,0,0,7,0,0,,
Osmanabad,Maharashtra,4,0,0,4,0,0,,
Palghar,Maharashtra,6,0,4,2,0,0,,
Parbhani,Maharashtra,0,0,0,0,0,0,,
Pune,Maharashtra,206,16,14,176,0,0,,
Raigarh,Maharashtra,0,0,1,-1,0,0,,
Ratnagiri,Maharashtra,4,0,0,4,0,0,,
Sangli,Maharashtra,26,0,0,26,0,0,,
Satara,Maharashtra,6,0,0,6,0,0,,
Sindhudurg,Maharashtra,1,0,0,1,0,0,,
Solapur,Maharashtra,0,0,0,0,0,0,,
Thane,Maharashtra,114,0,6,108,0,0,,
Wardha,Maharashtra,0,0,0,0,0,0,,
Washim,Maharashtra,1,0,0,1,0,0,,
Yavatmal,Maharashtra,4,3,0,1,0,0,,
